month_year,count_month,Sentiment,Content,audio_uri,docindex,files_uri,gifs_uri,photos_uri,sender_name,share_link,sticker_uri,videothumb_uri,video_uri,timestamp_ms
March 2013,1,Neutral,wait he thinks l have no friends,,14364,,,,Zoya Shepko,,,,,"March 11, 2013 9:17 PM"
March 2013,2,anger,LOOK AT YOURSELF BRO! ,,14363,,,,Zoya Shepko,,,,,"March 11, 2013 9:18 PM"
March 2013,3,anger,GO BE WITH YOUR MEXICAN GIRLFRIEND ,,14362,,,,Zoya Shepko,,,,,"March 11, 2013 9:19 PM"
March 2013,4,Neutral,I'm waiting,,14361,,,,Zoya Shepko,,,,,"March 18, 2013 9:57 PM"
April 2013,1,Neutral,hehe sanas in trouble ,,14359,,,,Zoya Shepko,,,,,"April 6, 2013 8:32 PM"
April 2013,2,Neutral,Sana will you take pictures at [name]'s house?,,14355,,,,Zoya Shepko,,,,,"April 25, 2013 7:34 PM"
April 2013,3,Neutral,ANNNDDDD i have a slight issue ,,14354,,,,Zoya Shepko,,,,,"April 25, 2013 7:35 PM"
April 2013,4,Neutral,about the party ,,14353,,,,Zoya Shepko,,,,,"April 25, 2013 7:35 PM"
April 2013,5,Neutral,umm well [name] isn't going anymore ,,14351,,,,Zoya Shepko,,,,,"April 25, 2013 7:45 PM"
April 2013,6,Neutral,so.. ,,14350,,,,Zoya Shepko,,,,,"April 25, 2013 7:45 PM"
April 2013,7,Neutral,theres no way of getting there of from there  ,,14349,,,,Zoya Shepko,,,,,"April 25, 2013 7:45 PM"
August 2013,1,Neutral,going to that [name] sana hmmmmm??,,14345,,,,Zoya Shepko,,,,,"August 28, 2013 8:54 PM"
September 2013,1,Neutral, did [name] actually get money from that ,,14340,,,,Zoya Shepko,,,,,"September 5, 2013 9:31 PM"
September 2013,2,negative,no,,14339,,,,Zoya Shepko,,,,,"September 5, 2013 9:31 PM"
September 2013,3,anger,Sana you smell ,,14338,,,,Zoya Shepko,,,,,"September 20, 2013 8:04 PM"
April 2014,1,negative,go away,,14333,,,,Zoya Shepko,,,,,"April 24, 2014 10:14 PM"
May 2014,1,Neutral,Zoya sent a photo.,,14329,,,,Zoya Shepko,,,,,"May 27, 2014 10:55 PM"
May 2014,2,Neutral,Zoya sent a photo.,,14325,,,,Zoya Shepko,,,,,"May 27, 2014 11:03 PM"
July 2014,1,Neutral,http://www.hydeparkdrivein.com/#current,,14324,,,,Zoya Shepko,http://www.hydeparkdrivein.com/#current,,,,"July 9, 2014 6:30 PM"
July 2014,2,Neutral,http://en.wikipedia.org/wiki/Stony_Kill_Falls,,14323,,,,Zoya Shepko,http://en.wikipedia.org/wiki/Stony_Kill_Falls,,,,"July 9, 2014 6:37 PM"
July 2014,3,Neutral,http://en.wikipedia.org/wiki/Wittenberg_Mountain,,14322,,,,Zoya Shepko,,,,,"July 9, 2014 6:37 PM"
July 2014,4,Neutral,LOOK AT IT!!!,,14321,,,,Zoya Shepko,,,,,"July 9, 2014 6:38 PM"
July 2014,5,negative,you suck,,14319,,,,Zoya Shepko,,,,,"July 9, 2014 6:48 PM"
July 2014,6,Neutral,you didn't even look at all of them,,14318,,,,Zoya Shepko,,,,,"July 9, 2014 6:48 PM"
August 2014,1,Neutral,http://www.guidedproducts.com/collections/custom-cd-sleeves/products/custom-printed-cd-sleeves-cardboard-resleeve,,14317,,,,Zoya Shepko,http://www.guidedproducts.com/products/custom-printed-cd-sleeves-cardboard-resleeve,,,,"August 30, 2014 3:38 PM"
August 2014,2,Neutral,would we want to do this???,,14316,,,,Zoya Shepko,,,,,"August 30, 2014 3:38 PM"
August 2014,3,Neutral,no expensive nevermind,,14315,,,,Zoya Shepko,,,,,"August 30, 2014 3:39 PM"
September 2014,1,joy,he wants to be my friend,,14311,,,,Zoya Shepko,,,,,"September 8, 2014 6:48 PM"
September 2014,2,negative,it will never happen,,14310,,,,Zoya Shepko,,,,,"September 8, 2014 6:48 PM"
September 2014,3,joy,HAHAHAHAHA,,14308,,,,Zoya Shepko,,,,,"September 8, 2014 6:49 PM"
September 2014,4,Neutral,you started it,,14307,,,,Zoya Shepko,,,,,"September 8, 2014 6:49 PM"
September 2014,5,Neutral,ADD MORE,,14305,,,,Zoya Shepko,,,,,"September 8, 2014 9:25 PM"
September 2014,6,Neutral,of those flowers things,,14304,,,,Zoya Shepko,,,,,"September 8, 2014 9:25 PM"
September 2014,7,Neutral,think folk sana,,14303,,,,Zoya Shepko,,,,,"September 8, 2014 9:26 PM"
September 2014,8,positive,l like the color but it kind of looks like a yoga business,,14299,,,,Zoya Shepko,,,,,"September 8, 2014 9:27 PM"
September 2014,9,Neutral,make it more folk,,14298,,,,Zoya Shepko,,,,,"September 8, 2014 9:27 PM"
September 2014,10,Neutral,like on the bottom corner have something,,14296,,,,Zoya Shepko,,,,,"September 8, 2014 9:29 PM"
September 2014,11,Neutral,should we just go with a mixture of both?,,14294,,,,Zoya Shepko,,,,,"September 9, 2014 2:51 PM"
September 2014,12,positive,that you are grateful that she cares so much about you but that you are old enough to make decisions for yourself,,14291,,,,Zoya Shepko,,,,,"September 9, 2014 2:56 PM"
September 2014,13,Neutral,also just tell her that you are only really doing it because you want to save up to go to a better college,,14290,,,,Zoya Shepko,,,,,"September 9, 2014 2:56 PM"
September 2014,14,Neutral,and that you know its not a good thing but that you are definitely not doing this your whole life,,14289,,,,Zoya Shepko,,,,,"September 9, 2014 2:58 PM"
September 2014,15,Neutral,tell her things that she wants to hear,,14288,,,,Zoya Shepko,,,,,"September 9, 2014 2:58 PM"
September 2014,16,Neutral,also say you are NOT [ ] because it looks like that's what they all think,,14287,,,,Zoya Shepko,,,,,"September 9, 2014 3:01 PM"
September 2014,17,anticipation,I HOPE IT GOES WELL!,,14286,,,,Zoya Shepko,,,,,"September 9, 2014 3:03 PM"
September 2014,18,anticipation,and end on a good note,,14285,,,,Zoya Shepko,,,,,"September 9, 2014 3:03 PM"
September 2014,19,Neutral,why???,,14282,,,,Zoya Shepko,,,,,"September 9, 2014 3:37 PM"
September 2014,20,fear,truthfully l was concerned in the beginning but l know you are smart in the decisions you make,,14277,,,,Zoya Shepko,,,,,"September 9, 2014 3:41 PM"
September 2014,21,Neutral,does it look too Asian??,,14276,,,,Zoya Shepko,,,,,"September 9, 2014 4:32 PM"
September 2014,22,positive,it looks cool though,,14275,,,,Zoya Shepko,,,,,"September 9, 2014 4:33 PM"
September 2014,23,Neutral,but l still say get rid of the line thingy on the A,,14274,,,,Zoya Shepko,,,,,"September 9, 2014 4:33 PM"
September 2014,24,Neutral,those are both different,,14272,,,,Zoya Shepko,,,,,"September 11, 2014 12:32 PM"
September 2014,25,Neutral,which one?,,14271,,,,Zoya Shepko,,,,,"September 11, 2014 12:32 PM"
September 2014,26,Neutral,could you make it into a jpeg,,14269,,,,Zoya Shepko,,,,,"September 11, 2014 12:37 PM"
September 2014,27,Neutral,the first on?,,14268,,,,Zoya Shepko,,,,,"September 11, 2014 12:38 PM"
September 2014,28,Neutral,one,,14267,,,,Zoya Shepko,,,,,"September 11, 2014 12:38 PM"
September 2014,29,Neutral,can you make it bigger,,14264,,,,Zoya Shepko,,,,,"September 11, 2014 12:41 PM"
September 2014,30,anticipation,the thing that l have to use in order to print them on card things wont work if its small,,14263,,,,Zoya Shepko,,,,,"September 11, 2014 12:42 PM"
September 2014,31,Neutral,l also don't have photoshop,,14262,,,,Zoya Shepko,,,,,"September 11, 2014 12:42 PM"
September 2014,32,anger,where is your stupid key!!!!,,14261,,,,Zoya Shepko,,,,,"September 13, 2014 11:51 AM"
September 2014,33,Neutral,Zoya sent an attachment.,,14260,messages/inbox/ZoyaShepko_1AnAuMsTUQ/files/J100_833686259999956.pdf,,,Zoya Shepko,,,,,"September 23, 2014 2:44 PM"
September 2014,34,Neutral,that is why we have [name],,14258,,,,Zoya Shepko,,,,,"September 23, 2014 3:14 PM"
September 2014,35,Neutral,oh also try to find the cd cases with black backs,,14257,,,,Zoya Shepko,,,,,"September 23, 2014 3:19 PM"
September 2014,36,positive,they look better,,14256,,,,Zoya Shepko,,,,,"September 23, 2014 3:19 PM"
November 2014,1,Neutral,No,,14252,,,,Zoya Shepko,,,,,"November 5, 2014 11:57 PM"
November 2014,2,Neutral,No,,14250,,,,Zoya Shepko,,,,,"November 5, 2014 11:57 PM"
January 2015,1,Neutral,8:30,,14244,,,,Zoya Shepko,,,,,"January 13, 2015 8:47 PM"
January 2015,2,Neutral,all you have to do is take 500 out and put what you don't want back. You technically aren't supposed to do that but yolo,,14240,,,,Zoya Shepko,,,,,"January 20, 2015 9:15 AM"
January 2015,3,Neutral,Ohmygosh l am!!,,14238,,,,Zoya Shepko,,,,,"January 20, 2015 10:57 AM"
January 2015,4,Neutral,You just asked how to do it,,14237,,,,Zoya Shepko,,,,,"January 20, 2015 10:57 AM"
January 2015,5,Neutral,I told ya that already buy,,14236,,,,Zoya Shepko,,,,,"January 20, 2015 10:58 AM"
January 2015,6,negative,Butt,,14235,,,,Zoya Shepko,,,,,"January 20, 2015 10:58 AM"
January 2015,7,fear,Make sure you tell [name] that it would be better for us to get American DOLLARS! It's much easier for her to change it in Canada then for us,,14234,,,,Zoya Shepko,,,,,"January 20, 2015 11:07 AM"
January 2015,8,Neutral,how many cds would we want to make,,14233,,,,Zoya Shepko,,,,,"January 21, 2015 11:22 AM"
January 2015,9,Neutral,for 500 it would be $674,,14232,,,,Zoya Shepko,,,,,"January 21, 2015 11:23 AM"
January 2015,10,Neutral,I'm just looking at what we could de,,14231,,,,Zoya Shepko,,,,,"January 21, 2015 11:23 AM"
January 2015,11,Neutral,Do,,14230,,,,Zoya Shepko,,,,,"January 21, 2015 11:23 AM"
January 2015,12,positive,YEAHHH,,14228,,,,Zoya Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,13,Neutral,no you can do whatever,,14224,,,,Zoya Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,14,Neutral,you can upload it or send it,,14221,,,,Zoya Shepko,,,,,"January 21, 2015 11:25 AM"
January 2015,15,Neutral,300 only?,,14220,,,,Zoya Shepko,,,,,"January 21, 2015 11:25 AM"
January 2015,16,Neutral,that would be $567,,14219,,,,Zoya Shepko,,,,,"January 21, 2015 11:26 AM"
January 2015,17,Neutral,with shipping,,14218,,,,Zoya Shepko,,,,,"January 21, 2015 11:26 AM"
January 2015,18,Neutral,wut,,14213,,,,Zoya Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,19,negative,no,,14212,,,,Zoya Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,20,Neutral,we have to finish the covers though,,14211,,,,Zoya Shepko,,,,,"January 21, 2015 11:28 AM"
January 2015,21,negative,sana you didn't spell a word right,,14208,,,,Zoya Shepko,,,,,"January 21, 2015 11:29 AM"
January 2015,22,Neutral,okay and did you do the actual cd design,,14205,,,,Zoya Shepko,,,,,"January 21, 2015 11:29 AM"
January 2015,23,positive,coolz,,14203,,,,Zoya Shepko,,,,,"January 21, 2015 11:30 AM"
February 2015,1,Neutral,sana [name] is asking to get picked up at cafeteria,,14202,,,,Zoya Shepko,,,,,"February 8, 2015 6:42 PM"
February 2015,2,Neutral,l don't want to do it,,14201,,,,Zoya Shepko,,,,,"February 8, 2015 6:42 PM"
February 2015,3,Neutral,http://goparis.about.com/od/nightlifeinparis/tp/Paris_Nightlife.htm,,14198,,,,Zoya Shepko,http://goparis.about.com/od/nightlifeinparis/tp/Paris_Nightlife.htm,,,,"February 9, 2015 11:43 PM"
February 2015,4,Neutral,do we have to whole of July,,14195,,,,Zoya Shepko,,,,,"February 10, 2015 3:24 PM"
February 2015,5,Neutral,also in youth hostels there are mixed rooms which are most likely cheaper,,14191,,,,Zoya Shepko,,,,,"February 10, 2015 3:25 PM"
February 2015,6,Neutral,Paris would be the most expensive,,14189,,,,Zoya Shepko,,,,,"February 10, 2015 3:28 PM"
February 2015,7,Neutral,we can also look at other things,,14185,,,,Zoya Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,8,Neutral,options,,14184,,,,Zoya Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,9,Neutral,l was looking at what we picked,,14181,,,,Zoya Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,10,Neutral,paris italy and spain,,14180,,,,Zoya Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,11,Neutral,and germany,,14179,,,,Zoya Shepko,,,,,"February 10, 2015 3:30 PM"
February 2015,12,Neutral,l dont know,,14177,,,,Zoya Shepko,,,,,"February 10, 2015 3:30 PM"
February 2015,13,Neutral,wait l am confused,,14174,,,,Zoya Shepko,,,,,"February 10, 2015 3:35 PM"
February 2015,14,Neutral,the pass gives you 4 places to go,,14173,,,,Zoya Shepko,,,,,"February 10, 2015 3:36 PM"
February 2015,15,Neutral,do you need to put the one that you are starting at then?,,14172,,,,Zoya Shepko,,,,,"February 10, 2015 3:36 PM"
February 2015,16,Neutral,but we should see if [name] has friends in Paris,,14171,,,,Zoya Shepko,,,,,"February 10, 2015 3:39 PM"
February 2015,17,positive,dude spain is 240 FOR 7 DAYS SO CHEAP,,14170,,,,Zoya Shepko,,,,,"February 10, 2015 3:40 PM"
February 2015,18,positive,and you get breakfast,,14169,,,,Zoya Shepko,,,,,"February 10, 2015 3:40 PM"
February 2015,19,Neutral,you look at plane tix,,14168,,,,Zoya Shepko,,,,,"February 10, 2015 3:43 PM"
February 2015,20,Neutral,going to germany,,14163,,,,Zoya Shepko,,,,,"February 10, 2015 4:00 PM"
February 2015,21,positive,that really good actually,,14162,,,,Zoya Shepko,,,,,"February 10, 2015 4:00 PM"
February 2015,22,Neutral,is that one way though,,14160,,,,Zoya Shepko,,,,,"February 10, 2015 4:01 PM"
February 2015,23,Neutral,hah,,14158,,,,Zoya Shepko,,,,,"February 10, 2015 4:01 PM"
February 2015,24,Neutral,[name],,14155,,,,Zoya Shepko,,,,,"February 14, 2015 1:21 PM"
February 2015,25,Neutral,?,,14154,,,,Zoya Shepko,,,,,"February 14, 2015 1:21 PM"
February 2015,26,Neutral,bleaa,,14152,,,,Zoya Shepko,,,,,"February 14, 2015 1:21 PM"
February 2015,27,Neutral,san sana sanan sanan,,14151,,,,Zoya Shepko,,,,,"February 16, 2015 7:19 PM"
February 2015,28,surprise,we should decide if we are doing the trip soon like this week,,14149,,,,Zoya Shepko,,,,,"February 16, 2015 7:19 PM"
February 2015,29,anticipation,just because l really really want to do it,,14148,,,,Zoya Shepko,,,,,"February 16, 2015 7:20 PM"
February 2015,30,anticipation,k have fun in class,,14147,,,,Zoya Shepko,,,,,"February 16, 2015 7:20 PM"
February 2015,31,trust,hey yo sana. Since you don't have school tomorrow you should work on [name] letting us go on this trip. Right now plane tickets are around 3000 from what l found,,14144,,,,Zoya Shepko,,,,,"February 17, 2015 11:07 PM"
February 2015,32,anticipation,the pass thingy is around 728 and hostels are around 200-700 depending on the place and how long the stay is,,14143,,,,Zoya Shepko,,,,,"February 17, 2015 11:16 PM"
February 2015,33,Neutral,Did you do you chore,,14140,,,,Zoya Shepko,,,,,"February 23, 2015 9:06 PM"
February 2015,34,Neutral,What,,14138,,,,Zoya Shepko,,,,,"February 23, 2015 9:06 PM"
February 2015,35,Neutral,You could have done it before!!!!!,,14135,,,,Zoya Shepko,,,,,"February 23, 2015 9:07 PM"
February 2015,36,negative,Buttface,,14133,,,,Zoya Shepko,,,,,"February 23, 2015 9:08 PM"
February 2015,37,anger,I hate the animals,,14132,,,,Zoya Shepko,,,,,"February 23, 2015 9:08 PM"
February 2015,38,sadness,She went to a funeral and told me to clean,,14129,,,,Zoya Shepko,,,,,"February 23, 2015 9:09 PM"
February 2015,39,negative,And then yelled at me for saying no,,14128,,,,Zoya Shepko,,,,,"February 23, 2015 9:11 PM"
February 2015,40,Neutral,sana she want to know if you can doooo ittttt,,14125,,,,Zoya Shepko,,,,,"February 25, 2015 7:32 PM"
February 2015,41,Neutral,l can't do it because she has a friend that plays cello,,14122,,,,Zoya Shepko,,,,,"February 25, 2015 7:33 PM"
February 2015,42,Neutral,but she wants to knowwwwwwwww,,14121,,,,Zoya Shepko,,,,,"February 25, 2015 7:33 PM"
February 2015,43,Neutral,maybe l should say l play violin,,14119,,,,Zoya Shepko,,,,,"February 25, 2015 7:33 PM"
February 2015,44,negative,no,,14118,,,,Zoya Shepko,,,,,"February 25, 2015 7:33 PM"
February 2015,45,Neutral,well she sounds like she needs to know soon,,14116,,,,Zoya Shepko,,,,,"February 25, 2015 7:34 PM"
February 2015,46,negative,lame,,14112,,,,Zoya Shepko,,,,,"February 25, 2015 7:35 PM"
February 2015,47,Neutral,just for ya BOYFRIEND,,14110,,,,Zoya Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,48,negative,lame,,14109,,,,Zoya Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,49,anger,butthead [name],,14107,,,,Zoya Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,50,negative,no,,14102,,,,Zoya Shepko,,,,,"February 25, 2015 7:50 PM"
February 2015,51,negative,it wasn't funny,,14100,,,,Zoya Shepko,,,,,"February 25, 2015 7:50 PM"
February 2015,52,negative,no but being in a pit is very boring,,14098,,,,Zoya Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,53,Neutral,and you have to sit through A LOT of rehearsals,,14096,,,,Zoya Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,54,Neutral,wait does that mean you wont see a show,,14092,,,,Zoya Shepko,,,,,"February 25, 2015 7:52 PM"
February 2015,55,Neutral,yeah whatever,,14090,,,,Zoya Shepko,,,,,"February 25, 2015 7:53 PM"
February 2015,56,Neutral,just say that you had plans already,,14089,,,,Zoya Shepko,,,,,"February 25, 2015 7:53 PM"
February 2015,57,anger,no l hate violin,,14085,,,,Zoya Shepko,,,,,"February 25, 2015 7:54 PM"
February 2015,58,Neutral,maybe if it was 500,,14084,,,,Zoya Shepko,,,,,"February 25, 2015 7:54 PM"
February 2015,59,Neutral,violins are lame,,14082,,,,Zoya Shepko,,,,,"February 25, 2015 7:55 PM"
February 2015,60,Neutral,WHYYYYYAAAA,,14077,,,,Zoya Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,61,Neutral,WHYYY,,14075,,,,Zoya Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,62,joy,HAHAHAHAHAHAHAHAHA,,14073,,,,Zoya Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,63,Neutral,theres nothing wring with it,,14071,,,,Zoya Shepko,,,,,"February 25, 2015 11:43 PM"
February 2015,64,Neutral,Zoya sent a sticker.,,14069,,,,Zoya Shepko,,photos_and_videos/stickers_used/10574704_313423705485116_1560310268_n_313423702151783.png,,,"February 25, 2015 11:43 PM"
February 2015,65,positive,hmmm nice photo,,14067,,,,Zoya Shepko,,,,,"February 25, 2015 11:46 PM"
February 2015,66,positive,damn l look hot,,14065,,,,Zoya Shepko,,,,,"February 25, 2015 11:47 PM"
February 2015,67,Neutral,never better,,14064,,,,Zoya Shepko,,,,,"February 25, 2015 11:47 PM"
February 2015,68,Neutral,ohhhhh,,14063,,,,Zoya Shepko,,,,,"February 25, 2015 11:47 PM"
February 2015,69,Neutral,l have all the control,,14062,,,,Zoya Shepko,,,,,"February 25, 2015 11:48 PM"
February 2015,70,joy,hahahahhahahaha,,14061,,,,Zoya Shepko,,,,,"February 25, 2015 11:48 PM"
February 2015,71,positive,fine,,14060,,,,Zoya Shepko,,,,,"February 25, 2015 11:49 PM"
March 2015,1,Neutral,[name]s going to holdens house,,14058,,,,Zoya Shepko,,,,,"March 14, 2015 6:04 PM"
March 2015,2,Neutral,don't need to pick him up,,14057,,,,Zoya Shepko,,,,,"March 14, 2015 6:04 PM"
March 2015,3,positive,lets play right now,,14056,,,,Zoya Shepko,,,,,"March 14, 2015 6:23 PM"
March 2015,4,Neutral,practice,,14055,,,,Zoya Shepko,,,,,"March 14, 2015 6:23 PM"
March 2015,5,anticipation,are weee goinggg sanaa,,14054,,,,Zoya Shepko,,,,,"March 14, 2015 7:22 PM"
March 2015,6,negative,this doesn't work sana,,14048,,,,Zoya Shepko,,,,,"March 17, 2015 12:21 PM"
March 2015,7,Neutral,sana the images have to be 300 dpi and the image mode must be CMYK. Also can you make the front cover have more blank space between the edges and words.,,14047,,,,Zoya Shepko,,,,,"March 17, 2015 12:29 PM"
March 2015,8,Neutral,OH AND the cd design doesn't work make the korinya flower thing smaller,,14046,,,,Zoya Shepko,,,,,"March 17, 2015 12:30 PM"
March 2015,9,Neutral,right now it cuts it in the middle of the cd,,14045,,,,Zoya Shepko,,,,,"March 17, 2015 12:31 PM"
March 2015,10,Neutral,and maybe bring Ukrainian folk band up a little,,14044,,,,Zoya Shepko,,,,,"March 17, 2015 12:31 PM"
March 2015,11,positive,K THANKS,,14043,,,,Zoya Shepko,,,,,"March 17, 2015 12:31 PM"
March 2015,12,Neutral,"front is 5.063"" x 4.968"" and back is 5.063"" x 4.844""",,14038,,,,Zoya Shepko,,,,,"March 17, 2015 2:57 PM"
March 2015,13,Neutral,that the trim size so you want to make sure that it extends out more,,14037,,,,Zoya Shepko,,,,,"March 17, 2015 2:58 PM"
March 2015,14,Neutral,so there are no white areas when they print,,14036,,,,Zoya Shepko,,,,,"March 17, 2015 2:59 PM"
March 2015,15,negative,sana its still not working,,14035,,,,Zoya Shepko,,,,,"March 17, 2015 4:01 PM"
March 2015,16,anticipation,we should just work on this when you get back,,14034,,,,Zoya Shepko,,,,,"March 17, 2015 4:01 PM"
March 2015,17,negative,l don't know how to explain everything,,14033,,,,Zoya Shepko,,,,,"March 17, 2015 4:01 PM"
March 2015,18,Neutral,why is it so purple,,14032,,,,Zoya Shepko,,,,,"March 17, 2015 4:13 PM"
March 2015,19,Neutral,I'll try to do it,,14031,,,,Zoya Shepko,,,,,"March 17, 2015 4:14 PM"
March 2015,20,Neutral,It's done,,14030,,,messages/inbox/ZoyaShepko_1AnAuMsTUQ/photos/11076046_826253560743226_106134425_n_826253560743226.jpg,Zoya Shepko,,,,,"March 17, 2015 4:53 PM"
March 2015,21,Neutral,LOOK AT THAT,,14029,,,,Zoya Shepko,,,,,"March 17, 2015 4:53 PM"
March 2015,22,Neutral,No but move korinya down a little on the front design,,14028,,,,Zoya Shepko,,,,,"March 17, 2015 4:56 PM"
March 2015,23,positive,haha no,,14025,,,,Zoya Shepko,,,,,"March 25, 2015 3:36 PM"
March 2015,24,anger,AND SANA WHY DIDN'T YOU TELL ME YOU WERE MAKING A POSTER IT SUCKS,,14024,,,,Zoya Shepko,,,,,"March 25, 2015 3:37 PM"
March 2015,25,Neutral,I'VE BEEN DOING POSTERS FOR CLASS THIS WHOLE SEMESTER,,14023,,,,Zoya Shepko,,,,,"March 25, 2015 3:39 PM"
March 2015,26,anger,dumbbutt,,14022,,,,Zoya Shepko,,,,,"March 25, 2015 3:39 PM"
March 2015,27,anger,whatever,,14021,,,,Zoya Shepko,,,,,"March 25, 2015 3:41 PM"
March 2015,28,anger,maybe its just the logo l don't like,,14017,,,,Zoya Shepko,,,,,"March 25, 2015 3:59 PM"
March 2015,29,surprise,OHHHHHHHH,,14016,,,,Zoya Shepko,,,,,"March 25, 2015 3:59 PM"
March 2015,30,Neutral,Zoya sent a sticker.,,14014,,,,Zoya Shepko,,messages/stickers_used/10173505_313423455485141_1523256392_n_313423452151808.png,,,"March 25, 2015 4:22 PM"
March 2015,31,negative,No,,14013,,,,Zoya Shepko,,,,,"March 25, 2015 4:22 PM"
March 2015,32,Neutral,Zoya sent a sticker.,,14012,,,,Zoya Shepko,,messages/stickers_used/10541018_313423568818463_302512478_n_313423565485130.png,,,"March 25, 2015 4:23 PM"
March 2015,33,Neutral,Zoya sent a sticker.,,14011,,,,Zoya Shepko,,messages/stickers_used/10574681_313422378818582_145968410_n_313422375485249.png,,,"March 25, 2015 4:23 PM"
March 2015,34,Neutral,Zoya sent a sticker.,,14010,,,,Zoya Shepko,,messages/stickers_used/10541018_313423568818463_302512478_n_313423565485130.png,,,"March 25, 2015 4:23 PM"
