month_year,count_month,Sentiment,Content,audio_uri,docindex,files_uri,gifs_uri,photos_uri,sender_name,share_link,sticker_uri,videothumb_uri,video_uri,timestamp_ms
February 2013,6,Neutral,HONESTLY,,14394,,,,Sana Shepko,,,,,"February 1, 2013 9:49 PM"
February 2013,7,Neutral,i know,,14393,,,,Sana Shepko,,,,,"February 1, 2013 9:49 PM"
February 2013,8,negative,it's awful,,14392,,,,Sana Shepko,,,,,"February 1, 2013 9:49 PM"
February 2013,9,negative,i feel like ripping out my hair,,14391,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,10,Neutral,"hahah that's what cocktails are, dumbass",,14389,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,11,anger,ZOYA HAVE YOU NEVER HEARD OF A COCKTAIL,,14387,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,12,Neutral,that's what [name] drank all the time in disney!,,14386,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,13,Neutral,and look how well it worked on her!,,14385,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,14,anger,OH MY GOD [name] IS SUCH A HYPOCRITE,,14384,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,15,anger,OH MY GOD,,14383,,,,Sana Shepko,,,,,"February 1, 2013 9:50 PM"
February 2013,16,anger,SHE'S SUCH AN ALCOHOLIC,,14382,,,,Sana Shepko,,,,,"February 1, 2013 9:51 PM"
February 2013,17,Neutral,"well... there was one unlabeled one towards the front, it might have been the dandelion...",,14379,,,,Sana Shepko,,,,,"February 1, 2013 9:51 PM"
February 2013,18,Neutral,and i got some of that hot-pepper vodka that [name] made a while ago,,14378,,,,Sana Shepko,,,,,"February 1, 2013 9:51 PM"
February 2013,19,negative,zoya why am i so bad,,14377,,,,Sana Shepko,,,,,"February 1, 2013 9:52 PM"
February 2013,20,Neutral,hahaha it tastes fine i tried some ;),,14375,,,,Sana Shepko,,,,,"February 1, 2013 9:53 PM"
February 2013,21,Neutral,"and there's cherry liquor, and some brandy... no rum though, not like last year haha",,14373,,,,Sana Shepko,,,,,"February 1, 2013 9:53 PM"
February 2013,22,negative,really i feel like i just get more rebellious the more [name] tells me not to be...,,14372,,,,Sana Shepko,,,,,"February 1, 2013 9:53 PM"
February 2013,23,Neutral,hahahhahaha,,14370,,,,Sana Shepko,,,,,"February 1, 2013 9:54 PM"
February 2013,24,joy,i love you ,,14368,,,,Sana Shepko,,,,,"February 1, 2013 9:54 PM"
February 2013,25,joy,you're the best sister ever,,14367,,,,Sana Shepko,,,,,"February 1, 2013 9:55 PM"
February 2013,26,joy,i think i'm going to go visit you now,,14366,,,,Sana Shepko,,,,,"February 1, 2013 9:55 PM"
March 2013,1,Neutral,ZOYA LOOK,,14365,,,messages/inbox/ZoyaShepko_1AnAuMsTUQ/photos/11130610_10153346408008054_628587536_n_10153346408008054.jpg,Sana Shepko,,,,,"March 11, 2013 9:05 PM"
March 2013,2,negative,GIVE IT A SECOND JEEZ,,14360,,,,Sana Shepko,,,,,"March 18, 2013 9:58 PM"
April 2013,1,negative,shuddup,,14358,,,,Sana Shepko,,,,,"April 6, 2013 8:32 PM"
April 2013,2,negative,it's the stupid phone,,14357,,,,Sana Shepko,,,,,"April 6, 2013 8:32 PM"
April 2013,3,negative,not my fault babycakes,,14356,,,,Sana Shepko,,,,,"April 6, 2013 8:32 PM"
April 2013,4,Neutral,"no, and what?",,14352,,,,Sana Shepko,,,,,"April 25, 2013 7:44 PM"
April 2013,5,Neutral,oh well,,14348,,,,Sana Shepko,,,,,"April 25, 2013 7:46 PM"
April 2013,6,sadness,"zoya, i'm sorry, i just had a break down about college outside on the porch i can't handle anything right now",,14347,,,,Sana Shepko,,,,,"April 25, 2013 7:47 PM"
April 2013,7,sadness,i might actually go through all of my supplies because i'm so depressed,,14346,,,,Sana Shepko,,,,,"April 25, 2013 7:47 PM"
September 2013,1,Neutral,zoya we need to make a masterplan for toronto,,14344,,,,Sana Shepko,,,,,"September 5, 2013 8:35 PM"
September 2013,2,Neutral,maybe we'll do a fundraiser,,14343,,,,Sana Shepko,,,,,"September 5, 2013 8:35 PM"
September 2013,3,Neutral,for gas money,,14342,,,,Sana Shepko,,,,,"September 5, 2013 8:36 PM"
September 2013,4,positive,OOH LET'S SELL YARN LIKE [name] DID FOR BOSTON,,14341,,,,Sana Shepko,,,,,"September 5, 2013 8:36 PM"
September 2013,5,anger,zoya leave me alone,,14337,,,,Sana Shepko,,,,,"September 20, 2013 8:18 PM"
November 2013,1,anticipation,"zoya, do you need your car for tomorrow? i was just going to drive over to [name]'s after my classes end at 5:45 and sleepover but if you need it let me know and i'll figure something out",,14336,,,,Sana Shepko,,,,,"November 21, 2013 12:39 PM"
March 2014,1,Neutral,https://www.dropbox.com/sh/msw0z85k8p3224w/QZ8VmLOz5H,,14335,,,,Sana Shepko,https://www.dropbox.com/sh/msw0z85k8p3224w/QZ8VmLOz5H,,,,"March 24, 2014 10:12 PM"
April 2014,1,Neutral,zoya,,14334,,,,Sana Shepko,,,,,"April 24, 2014 10:05 PM"
April 2014,2,Neutral,did u draw that,,14332,,,,Sana Shepko,,,,,"April 24, 2014 10:34 PM"
April 2014,3,Neutral,is that your final piece of ur concentration,,14331,,,,Sana Shepko,,,,,"April 24, 2014 10:38 PM"
May 2014,1,Neutral,hi luzer,,14330,,,,Sana Shepko,,,,,"May 27, 2014 10:53 PM"
May 2014,2,anger,bitch gimme some new material,,14328,,,,Sana Shepko,,,,,"May 27, 2014 10:55 PM"
May 2014,3,Neutral,das old,,14327,,,,Sana Shepko,,,,,"May 27, 2014 10:55 PM"
May 2014,4,positive,acceptable,,14326,,,,Sana Shepko,,,,,"May 27, 2014 11:01 PM"
July 2014,1,Neutral,woowwwww,,14320,,,,Sana Shepko,,,,,"July 9, 2014 6:43 PM"
September 2014,1,fear,zoya he's everywhere,,14314,,,,Sana Shepko,,,,,"September 8, 2014 6:30 PM"
September 2014,2,fear,omg zoya he's still texting me,,14313,,,,Sana Shepko,,,,,"September 8, 2014 6:31 PM"
September 2014,3,fear,dear god,,14312,,,,Sana Shepko,,,,,"September 8, 2014 6:31 PM"
September 2014,4,negative,zoya can you make him like you instead so that he'll leave me alone,,14309,,,,Sana Shepko,,,,,"September 8, 2014 6:49 PM"
September 2014,5,Neutral,as;lkdnvwarigjhid,,14306,,,,Sana Shepko,,,,,"September 8, 2014 6:50 PM"
September 2014,6,Neutral,ooh ok,,14302,,,,Sana Shepko,,,,,"September 8, 2014 9:26 PM"
September 2014,7,Neutral,that's [name]'s flower,,14301,,,,Sana Shepko,,,,,"September 8, 2014 9:26 PM"
September 2014,8,Neutral,You sent a photo.,,14300,,,,Sana Shepko,,,,,"September 8, 2014 9:27 PM"
September 2014,9,positive,haha ok,,14297,,,,Sana Shepko,,,,,"September 8, 2014 9:28 PM"
September 2014,10,positive,i like this and the first the best,,14295,,,,Sana Shepko,,,,,"September 9, 2014 12:47 AM"
September 2014,11,Neutral,You sent a photo.,,14293,,,,Sana Shepko,,,,,"September 9, 2014 2:51 PM"
September 2014,12,fear,zoya i have to call her right now what the fuck do i say,,14292,,,,Sana Shepko,,,,,"September 9, 2014 2:53 PM"
September 2014,13,fear,apparently [name] wants you to come talk with her [name] and me and [name] tomorrow at 5 too,,14284,,,,Sana Shepko,,,,,"September 9, 2014 3:36 PM"
September 2014,14,anger,[name] is pissing me off so much right now,,14283,,,,Sana Shepko,,,,,"September 9, 2014 3:37 PM"
September 2014,15,fear,i don't know!,,14281,,,,Sana Shepko,,,,,"September 9, 2014 3:37 PM"
September 2014,16,fear,zoya are you concerned,,14280,,,,Sana Shepko,,,,,"September 9, 2014 3:38 PM"
September 2014,17,anger,you should be concerned that i'll smash in [name]'s face,,14279,,,,Sana Shepko,,,,,"September 9, 2014 3:38 PM"
September 2014,18,anticipation,ok so can you come tomorrow,,14278,,,,Sana Shepko,,,,,"September 9, 2014 3:39 PM"
September 2014,19,Neutral,You sent an attachment.,,14273,messages/inbox/ZoyaShepko_1AnAuMsTUQ/files/korinyabusinesscard_10153346407833054.pdf,,,Sana Shepko,,,,,"September 11, 2014 12:30 PM"
September 2014,20,Neutral,jpeg,,14270,,,,Sana Shepko,,,,,"September 11, 2014 12:37 PM"
September 2014,21,Neutral,You sent a photo.,,14266,,,,Sana Shepko,,,,,"September 11, 2014 12:38 PM"
September 2014,22,Neutral,that is a jpeg,,14265,,,,Sana Shepko,,,,,"September 11, 2014 12:38 PM"
September 2014,23,Neutral,yeah no i have no idea how to use this,,14259,,,,Sana Shepko,,,,,"September 23, 2014 3:10 PM"
October 2014,1,Neutral,zoya,,14255,,,,Sana Shepko,,,,,"October 3, 2014 2:00 PM"
October 2014,2,Neutral,am i supposed to come home or do i go straight to gardiner,,14254,,,,Sana Shepko,,,,,"October 3, 2014 2:01 PM"
November 2014,1,Neutral,zoya does your printer have a scanner,,14253,,,,Sana Shepko,,,,,"November 5, 2014 11:52 PM"
November 2014,2,negative,dammit,,14251,,,,Sana Shepko,,,,,"November 5, 2014 11:57 PM"
December 2014,1,Neutral,if you could actually go to samopomich with [name],,14249,,,,Sana Shepko,,,,,"December 2, 2014 1:59 PM"
December 2014,2,Neutral,and pay her back for plane tickets,,14248,,,,Sana Shepko,,,,,"December 2, 2014 1:59 PM"
December 2014,3,anticipation,that would be good,,14247,,,,Sana Shepko,,,,,"December 2, 2014 1:59 PM"
December 2014,4,anticipation,so we can finally be done with that,,14246,,,,Sana Shepko,,,,,"December 2, 2014 1:59 PM"
December 2014,5,anger,just pay [name] back so they can't be annoying about korinya money,,14245,,,,Sana Shepko,,,,,"December 2, 2014 2:00 PM"
January 2015,1,Neutral,k,,14243,,,,Sana Shepko,,,,,"January 13, 2015 8:47 PM"
January 2015,2,anticipation,Wait so we can't take out less than 500 from samopomich?,,14242,,,,Sana Shepko,,,,,"January 20, 2015 2:14 AM"
January 2015,3,Neutral,So how are we paying for gas on the way to Toronto,,14241,,,,Sana Shepko,,,,,"January 20, 2015 2:24 AM"
January 2015,4,trust,I have to take it out? Can you get it,,14239,,,,Sana Shepko,,,,,"January 20, 2015 10:54 AM"
January 2015,5,Neutral,Official CDs,,14229,,,,Sana Shepko,,,,,"January 21, 2015 11:23 AM"
January 2015,6,positive,Yay,,14227,,,,Sana Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,7,Neutral,Is minimum 500?,,14226,,,,Sana Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,8,Neutral,And how do we get the recording to them,,14225,,,,Sana Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,9,surprise,Ohhhh,,14223,,,,Sana Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,10,Neutral,Well let's do like 300,,14222,,,,Sana Shepko,,,,,"January 21, 2015 11:24 AM"
January 2015,11,positive,that sounds fine,,14217,,,,Sana Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,12,Neutral,i don't think we would sell that much,,14216,,,,Sana Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,13,anticipation,by the time we do another recording,,14215,,,,Sana Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,14,Neutral,which we might,,14214,,,,Sana Shepko,,,,,"January 21, 2015 11:27 AM"
January 2015,15,negative,i lost the file!!!!,,14210,,,,Sana Shepko,,,,,"January 21, 2015 11:28 AM"
January 2015,16,negative,i would have to start over,,14209,,,,Sana Shepko,,,,,"January 21, 2015 11:28 AM"
January 2015,17,Neutral,i know,,14207,,,,Sana Shepko,,,,,"January 21, 2015 11:29 AM"
January 2015,18,Neutral,i'm going to do it,,14206,,,,Sana Shepko,,,,,"January 21, 2015 11:29 AM"
January 2015,19,Neutral,yes,,14204,,,,Sana Shepko,,,,,"January 21, 2015 11:29 AM"
February 2015,1,anger,Neither do I he's a little bitch,,14200,,,,Sana Shepko,,,,,"February 8, 2015 6:43 PM"
February 2015,2,Neutral,Tell him to call [name] or [name],,14199,,,,Sana Shepko,,,,,"February 8, 2015 6:43 PM"
February 2015,3,trust,zoya make a budget,,14197,,,,Sana Shepko,,,,,"February 10, 2015 3:11 PM"
February 2015,4,Neutral,let's figure out how much it'll be,,14196,,,,Sana Shepko,,,,,"February 10, 2015 3:11 PM"
February 2015,5,Neutral,what?,,14194,,,,Sana Shepko,,,,,"February 10, 2015 3:24 PM"
February 2015,6,Neutral,we can do shorter,,14193,,,,Sana Shepko,,,,,"February 10, 2015 3:24 PM"
February 2015,7,Neutral,whatever is cheap honestly,,14192,,,,Sana Shepko,,,,,"February 10, 2015 3:24 PM"
February 2015,8,anticipation,ok as long as we have weapons or something,,14190,,,,Sana Shepko,,,,,"February 10, 2015 3:25 PM"
February 2015,9,Neutral,didn't [name] say she had friends there?,,14188,,,,Sana Shepko,,,,,"February 10, 2015 3:28 PM"
February 2015,10,anticipation,ok what countries are we going to again?,,14187,,,,Sana Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,11,anticipation,let's give [name] and [name] a list and see if they can network,,14186,,,,Sana Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,12,positive,but paris zoya paris,,14183,,,,Sana Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,13,positive,PARIS,,14182,,,,Sana Shepko,,,,,"February 10, 2015 3:29 PM"
February 2015,14,positive,does germany count if we're starting there?,,14178,,,,Sana Shepko,,,,,"February 10, 2015 3:30 PM"
February 2015,15,Neutral,hmm,,14176,,,,Sana Shepko,,,,,"February 10, 2015 3:31 PM"
February 2015,16,positive,i really want to go to paris though,,14175,,,,Sana Shepko,,,,,"February 10, 2015 3:31 PM"
February 2015,17,Neutral,"https://www.google.com/flights/#search;f=EWR,JFK,LGA;t=MUC;d=2015-06-29;r=2015-07-05;tt=o;px=2;q=flights+to+munich",,14167,,,,Sana Shepko,"https://www.google.com/flights/#search;f=EWR,JFK,LGA;t=MUC;d=2015-06-29;r=2015-07-05;tt=o;px=2;q=flights+to+munich",,,,"February 10, 2015 3:48 PM"
February 2015,18,Neutral,cheapest to leave june 29,,14166,,,,Sana Shepko,,,,,"February 10, 2015 3:49 PM"
February 2015,19,Neutral,on norwegian,,14165,,,,Sana Shepko,,,,,"February 10, 2015 3:49 PM"
February 2015,20,Neutral,928 for both of us,,14164,,,,Sana Shepko,,,,,"February 10, 2015 3:50 PM"
February 2015,21,Neutral,yeah,,14161,,,,Sana Shepko,,,,,"February 10, 2015 4:01 PM"
February 2015,22,Neutral,yeah,,14159,,,,Sana Shepko,,,,,"February 10, 2015 4:01 PM"
February 2015,23,Neutral,but for both of us,,14157,,,,Sana Shepko,,,,,"February 10, 2015 4:01 PM"
February 2015,24,Neutral,What is wifi password,,14156,,,,Sana Shepko,,,,,"February 14, 2015 1:17 PM"
February 2015,25,Neutral,no [name],,14153,,,,Sana Shepko,,,,,"February 14, 2015 1:21 PM"
February 2015,26,Neutral,Wassup,,14150,,,,Sana Shepko,,,,,"February 16, 2015 7:19 PM"
February 2015,27,Neutral,ok,,14146,,,,Sana Shepko,,,,,"February 16, 2015 7:26 PM"
February 2015,28,Neutral,i say yes,,14145,,,,Sana Shepko,,,,,"February 16, 2015 7:26 PM"
February 2015,29,positive,ZOYA,,14142,,,,Sana Shepko,,,,,"February 19, 2015 11:02 PM"
February 2015,30,positive,COME TALK TO ME,,14141,,,,Sana Shepko,,,,,"February 19, 2015 11:02 PM"
February 2015,31,anger,Zoya I'm in class wtf,,14139,,,,Sana Shepko,,,,,"February 23, 2015 9:06 PM"
February 2015,32,Neutral,No i didn't,,14137,,,,Sana Shepko,,,,,"February 23, 2015 9:07 PM"
February 2015,33,Neutral,I'm in class,,14136,,,,Sana Shepko,,,,,"February 23, 2015 9:07 PM"
February 2015,34,Neutral,Whennnnn,,14134,,,,Sana Shepko,,,,,"February 23, 2015 9:07 PM"
February 2015,35,Neutral,I do too,,14131,,,,Sana Shepko,,,,,"February 23, 2015 9:08 PM"
February 2015,36,Neutral,Where's [name],,14130,,,,Sana Shepko,,,,,"February 23, 2015 9:08 PM"
February 2015,37,disgust,Ew,,14127,,,,Sana Shepko,,,,,"February 23, 2015 9:11 PM"
February 2015,38,negative,Yo we're doing animation in class and I suckkkk,,14126,,,,Sana Shepko,,,,,"February 23, 2015 9:12 PM"
February 2015,39,negative,Ughhhhh,,14124,,,,Sana Shepko,,,,,"February 25, 2015 7:32 PM"
February 2015,40,Neutral,Idk yet,,14123,,,,Sana Shepko,,,,,"February 25, 2015 7:32 PM"
February 2015,41,Neutral,Are you there right now?,,14120,,,,Sana Shepko,,,,,"February 25, 2015 7:33 PM"
February 2015,42,anticipation,Ok so how much time do I have,,14117,,,,Sana Shepko,,,,,"February 25, 2015 7:34 PM"
February 2015,43,Neutral,yeah,,14115,,,,Sana Shepko,,,,,"February 25, 2015 7:34 PM"
February 2015,44,Neutral,i'm probably not gonna do it,,14114,,,,Sana Shepko,,,,,"February 25, 2015 7:35 PM"
February 2015,45,negative,i think i'll regret it,,14113,,,,Sana Shepko,,,,,"February 25, 2015 7:35 PM"
February 2015,46,Neutral,yeah,,14111,,,,Sana Shepko,,,,,"February 25, 2015 7:35 PM"
February 2015,47,Neutral,yeah,,14108,,,,Sana Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,48,Neutral,no he said i should do it,,14106,,,,Sana Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,49,positive,he encouraged it,,14105,,,,Sana Shepko,,,,,"February 25, 2015 7:46 PM"
February 2015,50,anticipation,but we never spend time together and i would regret being stuck in a pit for my whole break instead of having fun,,14104,,,,Sana Shepko,,,,,"February 25, 2015 7:47 PM"
February 2015,51,anger,it's just fucking money i can just go back to the [name] and make that in one night,,14103,,,,Sana Shepko,,,,,"February 25, 2015 7:49 PM"
February 2015,52,negative,that was a joke,,14101,,,,Sana Shepko,,,,,"February 25, 2015 7:50 PM"
February 2015,53,Neutral,soryr,,14099,,,,Sana Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,54,Neutral,yah the only reason i would do it is for money,,14097,,,,Sana Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,55,anticipation,do i really value making money that i don't desperately need over seeing my long distance boyfriend,,14095,,,,Sana Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,56,Neutral,no,,14094,,,,Sana Shepko,,,,,"February 25, 2015 7:51 PM"
February 2015,57,anger,too bad [name],,14093,,,,Sana Shepko,,,,,"February 25, 2015 7:52 PM"
February 2015,58,anticipation,i'll make it in time for sunday,,14091,,,,Sana Shepko,,,,,"February 25, 2015 7:52 PM"
February 2015,59,Neutral,tell her you also play violin,,14088,,,,Sana Shepko,,,,,"February 25, 2015 7:53 PM"
February 2015,60,anticipation,start practicing,,14087,,,,Sana Shepko,,,,,"February 25, 2015 7:53 PM"
February 2015,61,Neutral,eh idk how difficult the music will be though,,14086,,,,Sana Shepko,,,,,"February 25, 2015 7:54 PM"
February 2015,62,Neutral,haha,,14083,,,,Sana Shepko,,,,,"February 25, 2015 7:54 PM"
February 2015,63,Neutral,yah,,14081,,,,Sana Shepko,,,,,"February 25, 2015 7:57 PM"
February 2015,64,Neutral,"Hey Zoya, I don't like this photo. Would you please take it down?",,14080,,,,Sana Shepko,,,,,"February 25, 2015 11:39 PM"
February 2015,65,Neutral,"Hey Zoya, there's something about this photo that bothers me. Would you please take it down?",,14079,,,,Sana Shepko,,,,,"February 25, 2015 11:40 PM"
February 2015,66,Neutral,"Hey Zoya, this photo is personal and I would prefer to keep it private. Would you please take it down?",,14078,,,,Sana Shepko,,,,,"February 25, 2015 11:41 PM"
February 2015,67,negative,nooooooooo,,14076,,,,Sana Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,68,negative,ughhhhhhh,,14074,,,,Sana Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,69,anger,i hate you,,14072,,,,Sana Shepko,,,,,"February 25, 2015 11:42 PM"
February 2015,70,anger,i hate you,,14070,,,,Sana Shepko,,,,,"February 25, 2015 11:43 PM"
February 2015,71,Neutral,https://www.facebook.com/photo.php?fbid=10151662656998054&set=t.681798053&type=3&theater,,14068,,,,Sana Shepko,https://www.facebook.com/photo.php?fbid=10151662656998054&set=a.10151662643933054&type=3,,,,"February 25, 2015 11:45 PM"
February 2015,72,Neutral,You sent a photo.,,14066,,,messages/inbox/ZoyaShepko_1AnAuMsTUQ/photos/11016533_10153258160688054_112445914_n_10153258160688054.jpg,Sana Shepko,,,,,"February 25, 2015 11:46 PM"
February 2015,73,Neutral,https://www.facebook.com/photo.php?fbid=10150633488423054&set=t.681798053&type=3&theater,,14059,,,,Sana Shepko,https://www.facebook.com/photo.php?fbid=10150633488423054&set=a.10150633476898054&type=3,,,,"February 26, 2015 12:00 AM"
March 2015,1,Neutral,to bsp kingston?,,14053,,,,Sana Shepko,,,,,"March 14, 2015 7:22 PM"
March 2015,2,Neutral,yes,,14052,,,,Sana Shepko,,,,,"March 14, 2015 7:22 PM"
March 2015,3,Neutral,let's practice,,14051,,,,Sana Shepko,,,,,"March 14, 2015 7:22 PM"
March 2015,4,Neutral,and then go,,14050,,,,Sana Shepko,,,,,"March 14, 2015 7:22 PM"
March 2015,5,positive,get yo cello,,14049,,,,Sana Shepko,,,,,"March 14, 2015 7:25 PM"
March 2015,6,Neutral,ok,,14042,,,,Sana Shepko,,,,,"March 17, 2015 2:46 PM"
March 2015,7,fear,ZOYA WHAT ARE THE SIZES FOR THE FILES,,14041,,,,Sana Shepko,,,,,"March 17, 2015 2:53 PM"
March 2015,8,fear,WHAT ARE FILE SIZES,,14040,,,,Sana Shepko,,,,,"March 17, 2015 2:53 PM"
March 2015,9,fear,WHAT DIMENSION IS IT SUPPOSED TO BE,,14039,,,,Sana Shepko,,,,,"March 17, 2015 2:53 PM"
March 2015,10,Neutral,Zoya what's the password to your computer I need to use it,,14027,,,,Sana Shepko,,,,,"March 25, 2015 12:01 PM"
March 2015,11,negative,My laptops being a bitch,,14026,,,,Sana Shepko,,,,,"March 25, 2015 12:01 PM"
March 2015,12,negative,no it doesn't suck,,14020,,,,Sana Shepko,,,,,"March 25, 2015 3:57 PM"
March 2015,13,Neutral,what are you talking about,,14019,,,,Sana Shepko,,,,,"March 25, 2015 3:57 PM"
March 2015,14,anger,ZOYA I'M A GRAPHIC DESIGN STUDENT I'VE BEEN DOING POSTERS FOR LIKE 3 SEMESTERS,,14018,,,,Sana Shepko,,,,,"March 25, 2015 3:58 PM"
March 2015,15,anger,so do another logo if you don't like it,,14015,,,,Sana Shepko,,,,,"March 25, 2015 4:03 PM"
April 2015,1,positive,[name] says he loves you,,13998,,,,Sana Shepko,,,,,"April 14, 2015 11:23 PM"
April 2015,2,positive,Also he pokes you,,13997,,,,Sana Shepko,,,,,"April 14, 2015 11:23 PM"
April 2015,3,Neutral,zoya [name] says she might go to beltane but she would have to be picked up from albany,,13995,,,,Sana Shepko,,,,,"April 15, 2015 1:44 PM"
April 2015,4,Neutral,a,,13994,,,,Sana Shepko,,,,,"April 15, 2015 1:44 PM"
April 2015,5,Neutral,also,,13993,,,,Sana Shepko,,,,,"April 15, 2015 1:44 PM"
April 2015,6,anticipation,if they're coming and spendi,,13992,,,,Sana Shepko,,,,,"April 15, 2015 1:44 PM"
April 2015,7,Neutral,fuck sorry figaro's on my laptop,,13991,,,,Sana Shepko,,,,,"April 15, 2015 1:45 PM"
April 2015,8,anger,if they're spending money to get here,,13990,,,,Sana Shepko,,,,,"April 15, 2015 1:45 PM"
April 2015,9,Neutral,\,,13989,,,,Sana Shepko,,,,,"April 15, 2015 1:45 PM"
April 2015,10,negative,i feel bad that they're spending money for an unpaid performance,,13988,,,,Sana Shepko,,,,,"April 15, 2015 1:45 PM"
April 2015,11,Neutral,but [name] wants to come,,13987,,,,Sana Shepko,,,,,"April 15, 2015 1:45 PM"
April 2015,12,Neutral,should i ask her?,,13984,,,,Sana Shepko,,,,,"April 15, 2015 1:46 PM"
